Name,enter_date,previous_school,new_school
KEEGAN MCGRAW,2025-05-05,Lock Haven University of Pennsylvania,
DAVIS WAGNER,2025-05-06,Augusta University,
CADE LACY,2025-05-06,Wheeling University,
ANDREW GRAHAM,2025-05-05,Metropolitan State University of Denver,
COOPER CASTEEL,2025-05-05,Lee University,
BROCK ELLIOTT,2025-05-05,Wheeling University,
DEVON BOYLES,2025-05-07,"University of Pittsburgh, Johnstown",
LUKE LEA,2025-05-07,"University of Pittsburgh, Johnstown",
JUSTIN TURCOVSKI,2025-05-07,"University of Pittsburgh, Johnstown",
CORBIN DICKENSON,2025-05-05,King University,
IAN SEGNA,2025-05-05,"Concordia University, St. Paul",
BRYCE HUMPHREY,2025-05-05,McKendree University,
ZACHARY DELLERMAN,2025-05-05,Wheeling University,
NICHOLAS GIOIA,2025-05-05,Benedict College,
BENJAMIN ADDISON,2025-05-05,Albany State University (Georgia),
AIDAN LENZEN,2025-05-09,Florida Institute of Technology,
MICAH MARQUEZ,2025-05-05,Jessup University ,
BRAYLEN ELZY,2025-05-05,New Mexico Highlands University,
KYLE CORTNER,2025-05-06,McKendree University,
TYLER GRAY,2025-05-05,University of Central Oklahoma,
CLAY PORTER,2025-05-06,"California State Polytechnic University, Pomona",
KOOPER HOUVOURAS,2025-05-05,Chaminade University,
MICHAEL MANGANIELLO,2025-05-05,St. Thomas Aquinas College,
JOSHUA STEWART,2025-05-07,Columbus State University,
MAC ZAWISTOSKI,2025-05-05,Chaminade University,
MASON COOK,2025-05-05,University of Hawaii at Hilo,
GRIFFIN TAMUCCI,2025-05-07,Augusta University,
CALEB SCHAEFFER,2025-05-06,"California State University, East Bay",
KARSON GREEN,2025-05-06,Missouri Western State University,
LOGAN MYERS,2025-05-06,Missouri Western State University,
CARLOS CHAVEZ,2025-05-06,New Mexico Highlands University,
JACKSON ADAM,2025-05-06,Missouri Western State University,
OLIVER LEONARD,2025-05-07,Shepherd University,
STEVEN TRONE,2025-05-06,Palm Beach Atlantic University,
GAEL BERNAL,2025-05-06,New Mexico Highlands University,
ERIK RHODES,2025-05-07,"University of Pittsburgh, Johnstown",
HUNTER MACLEOD,2025-05-06,University of Alabama in Huntsville,
JEANCARLOS MEDINA,2025-05-06,Edward Waters University,
MATTHIAS TRONDSON,2025-05-06,Eastern New Mexico University,
SKILER JACKSON,2025-05-06,Coker University,
SAMUEL FORMUS,2025-05-06,Cedarville University,
TAI PHETLUANGSY,2025-05-07,West Texas A&M University,
ALEX HARTNETT,2025-05-06,Saint Martin's University,
GEORGE KYRIAKOPOULOS,2025-05-06,Felician University,
MICHAEL BURNLEY,2025-05-06,Shepherd University,
DYLAN IMMEL,2025-05-06,University of Sioux Falls,
TYLER MCEVOY,2025-05-06,Westmont College,
GARRETT KLEIN,2025-05-06,Henderson State University,
PATRICK FOULIS,2025-05-06,Assumption University,
KYLE STOCK,2025-05-06,Coker University,
HENRY ZIMMERMANN,2025-05-06,Winona State University,
CORBIN WRIGHT,2025-05-06,Coker University,
BRAEDEN COCHRAN,2025-05-06,Georgia Southwestern State University,
EVAN OTTE,2025-05-06,Westmont College,
ANTONIO SWADER,2025-05-06,Spring Hill College,
CHASE PAIR,2025-05-06,"University of Arkansas, Fort Smith",
GARRETT WRIGHT,2025-05-07,Augusta University,
DANIEL BOYER,2025-05-06,Upper Iowa University,
JAYDEN HELMICK,2025-05-07,Glenville State University,
GAVIN ZOELLER,2025-05-07,Augusta University,
DEVIN KULAS,2025-05-06,Franklin Pierce University,
DYLAN WHITMIRE,2025-05-06,The University of Virginia's College at Wise,
CHRISTIAN PELUSO,2025-05-06,Chestnut Hill College,
LOGAN IRVIN,2025-05-06,"Pennsylvania Western University, Clarion",
CHANSEN COLE,2025-05-06,Newberry College,
LUKE LIPTAK,2025-05-06,"Pennsylvania Western University, Clarion",
RYAN BUSCHMANN,2025-05-06,McKendree University,
CADE STUART,2025-05-06,Fresno Pacific University,
JACK EDNER,2025-05-06,"Pennsylvania Western University, Clarion",
ROBERT DIBRELL,2025-05-06,University of Central Oklahoma,
LUKE KINZER,2025-05-06,Trevecca Nazarene University,
ANDREW RODRIGUEZ,2025-05-06,New Mexico Highlands University,
SAMARI ROBINSON,2025-05-06,Chowan University,
DEVIN BELL,2025-05-06,Western Oregon University,
AUSTIN ARMSTRONG,2025-05-08,University of Mary,
JOSEPH FAZZONE,2025-05-06,Gannon University,
GRAYSON HOPKINS,2025-05-07,Augusta University,
GIO DE GRAAUW,2025-05-07,Newman University,
LOGAN BRADISH,2025-05-07,Davis & Elkins College,
PIERSON GUNNELL,2025-05-06,Newman University,
AIDAN LEMASTERS,2025-05-06,Ouachita Baptist University,
ALEX LAUREANO,2025-05-06,Biola University,
KAI ST. GERMAINE,2025-05-07,Spring Hill College,
MATTHEW LORENCZ,2025-05-06,Lubbock Christian University,
WILLIAM SEEGER,2025-05-06,"University of Arkansas, Fort Smith",
KYZER SMITH,2025-05-06,Ouachita Baptist University,
JON HOWARD,2025-05-06,University of Mount Olive,
MATTHEW ZARRIELLO,2025-05-07,Menlo College,
RAMONE VALENZUELA,2025-05-07,Menlo College,
ANTHONY TELLEZ,2025-05-07,Menlo College,
LUKE BARCH,2025-05-08,Augusta University,
JOSHUA WILSON,2025-05-07,Bloomsburg University of Pennsylvania,
KALEB HENRY,2025-05-07,Georgia Southwestern State University,
CONNOR COYAN,2025-05-07,Walsh University,
ROBERT LANDGRAF,2025-05-07,Newman University,
COLE GRADY,2025-05-08,Glenville State University,
KODY COLLINS,2025-05-07,Emmanuel University (Georgia),
MIRQUIS ERAZO,2025-05-08,Bloomfield College,
TREY TRIAS,2025-05-07,Sonoma State University,
BEN SAITZ,2025-05-07,Sonoma State University,
JACOB PAUL,2025-05-07,Sonoma State University,
SAMUEL PETERSON,2025-05-07,Southwest Baptist University,
COLIN WHITED,2025-05-12,Southwest Baptist University,
WILLIAM TITUS,2025-05-07,Ouachita Baptist University,
JORDAN RODRIGUEZ,2025-05-07,Eastern New Mexico University,
BRYAN PINA,2025-05-07,Georgia Southwestern State University,
LUKE NAJERA,2025-05-07,Ouachita Baptist University,
CALIN MCKNIGHT,2025-05-07,"Pennsylvania Western University, Clarion",
ISAAC THORNTON,2025-05-07,Southern Arkansas University,
JACKSON BROOKS,2025-05-07,"California State University, Stanislaus",
NOAH BLYTHE,2025-05-08,Hawaii Pacific University,
BROCK MATTESON,2025-05-07,Holy Family University,
CHRISTOPHER LUBCHUK,2025-05-08,Bemidji State University,
LAWRENCE LUBCHUK,2025-05-07,Bemidji State University,
ZACHARY BRENNAN,2025-05-07,Fairmont State University,
SIMON ALUKO,2025-05-07,Shorter University,
CARLOS SINGLETON,2025-05-08,Augusta University,
ELIJAH ROBERTS,2025-05-12,Flagler College,
WILLIAM ANDERS,2025-05-07,Mars Hill University,
LUC NIVAUD,2025-05-07,Franklin Pierce University,
ETHAN STRONG,2025-05-07,McKendree University,
JAYLON MCGEE,2025-05-08,Southwest Baptist University,
TRENTON TAYLOR,2025-05-08,Glenville State University,
KADEN DOAN,2025-05-07,Missouri Western State University,
NOAH GUTIERREZ,2025-05-07,Minot State University,
LANCE ELSEN,2025-05-07,Newman University,
SCOTT ALLAN,2025-05-07,Newman University,
BRADEN LOWE,2025-05-07,University of Hawaii at Hilo,
JACOB FIX,2025-05-08,Shepherd University,
HUNTER GRESSEL,2025-05-07,Spring Hill College,
HUNTER THOMAS,2025-05-08,Concord University,
AUSTIN WILLIAMSON,2025-05-08,Augusta University,
JOEL GAITAN,2025-05-07,"California State University, Dominguez Hills",
WILLIAM JOENS,2025-05-08,University of Montevallo,
CHARLES BANKS,2025-05-08,Georgia College,
AIDEN PAYNE,2025-05-07,Georgia College,
LUIS VALERO,2025-05-07,Edward Waters University,
NOAH LANE,2025-05-07,University of Hawaii at Hilo,
SCOTTSON PACOT,2025-05-07,Ouachita Baptist University,
ADAM OCH,2025-05-08,West Liberty University,
WILLIAM MORRIS,2025-05-09,D'Youville University,
STEVEN DIAZ,2025-05-08,Franklin Pierce University,
MATTHEW MANUEL,2025-05-08,Georgia Southwestern State University,
MILES JUSTIN,2025-05-09,Spring Hill College,
ENRIQUE BARRAZA,2025-05-08,Spring Hill College,
ANGEL RIVERA,2025-05-09,West Virginia Wesleyan College,
JOSHUA AYALA,2025-05-08,West Virginia Wesleyan College,
LOCHLAN STOUDT,2025-05-08,Northwood University,
DIMITRI SPATHARAKIS,2025-05-08,Roosevelt University,
JOSUE CUETO,2025-05-09,Bloomfield College,
KEAGAN BROWN,2025-05-08,Coker University,
CAELAN PHILLIPS,2025-05-08,Holy Family University,
CALEB ROOFE,2025-05-08,Bluefield State University,
KENDAL SPENCER,2025-05-08,Savannah State University,
PEDRO MORENO,2025-05-12,Valdosta State University,
MARIO GARCIA,2025-05-08,Texas A&M International University,
JOHN PETERSON,2025-05-08,Newberry College,
WILLIAM TARPLEY,2025-05-08,University of Alabama in Huntsville,
DOMINIC TELLEZ,2025-05-08,Southwest Baptist University,
CHRISTOPHER ORTIZ,2025-05-08,Sonoma State University,
FRANK AMBROSIO IV,2025-05-08,Lock Haven University of Pennsylvania,
DAVID BRABB,2025-05-08,"University of Colorado, Colorado Springs",
CHANCE TURNER,2025-05-08,University of Mount Olive,
JACOB BODKIN,2025-05-08,University of South Carolina Aiken,
ERICKSON MATOS,2025-05-08,Edward Waters University,
ELIJAH BATISTA,2025-05-09,West Texas A&M University,
ANTHONY GAMBOA JR,2025-05-08,Christian Brothers University,
MYLES MCDERMOTT,2025-05-08,Northwestern Oklahoma State University,
JUSTIN FEISTEIN,2025-05-08,Franklin Pierce University,
MORGEN BILLOTTE,2025-05-09,Lock Haven University of Pennsylvania,
TRISTAN PURSER,2025-05-08,University of Mount Olive,
CONNOR WILLIS,2025-05-08,Northwestern Oklahoma State University,
MATTHEW MORENO,2025-05-09,Barry University,
ZACHARY BRAIG,2025-05-08,Chestnut Hill College,
JAMES FORDHAM,2025-05-08,Georgia Southwestern State University,
RYAN SEYMOUR,2025-05-08,Shorter University,
GAVIN JACOBS,2025-05-08,Ouachita Baptist University,
BROOKS MCDONNOUGH,2025-05-08,Trevecca Nazarene University,
NICHOLAS GALEAZZI,2025-05-08,Assumption University,
RAMSEY MORRIS,2025-05-08,Northwestern Oklahoma State University,
CRISTIAN HERNANDEZ,2025-05-08,Northeastern State University,
KEVIN COX,2025-05-08,University of South Carolina Aiken,
JACKSON PRESLEY,2025-05-08,East Central University,
GUNNAR KOZLOWITZ,2025-05-09,Minot State University,
LANDON NUNEZ,2025-05-08,Newberry College,
SAMUEL STOWE,2025-05-08,Newberry College,
CARSON MOLINAROLI,2025-05-10,Anderson University (South Carolina),
BRYSON SMITH,2025-05-08,West Virginia State University,
ANTHONY CRUDO,2025-05-08,Barton College,
JACOB REEVES,2025-05-08,Flagler College,
BRYSON BROWN,2025-05-08,West Virginia State University,
BENJAMIN GREEN,2025-05-08,Palm Beach Atlantic University,
LUKE DADDONA,2025-05-08,Flagler College,
PIERCE JUHAN,2025-05-08,Flagler College,
BRAIDEN EAGEN,2025-05-08,Newberry College,
COLE EVILSIZOR,2025-05-08,University of South Carolina Aiken,
GRIFFIN ROWE,2025-05-08,University of South Carolina Aiken,
KIRK ORTEGA II,2025-05-08,University of Tampa,
TRISTAN MILLS,2025-05-08,Southeastern Oklahoma State University,
CODY GIBSON,2025-05-08,Southwest Baptist University,
OWEN MASLOWSKI,2025-05-08,University of Wisconsin-Parkside,
TRENTON TRAMMELL,2025-05-08,Newman University,
HUNTER BROWN,2025-05-08,Newman University,
COLE SERFASS,2025-05-08,Mansfield University of Pennsylvania,
RYAN SEKULSKI,2025-05-08,Mansfield University of Pennsylvania,
ANDREW SILER,2025-05-08,Tiffin University,
BRODERICK RAY,2025-05-08,Emory & Henry University,
CARSON MCFARLIN,2025-05-09,Flagler College,
TYLER MCCLANAHAN,2025-05-09,Flagler College,
ANDERS JOHANSSON,2025-05-09,Barton College,
BRADY DUNLOP,2025-05-09,Barton College,
GRIFFIN SHEARON,2025-05-10,Minot State University,
QUINN GUNDELFINGER,2025-05-09,Missouri Western State University,
JUAN GUARDADO,2025-05-09,Benedict College,
CHRISTIAN PETINO JR,2025-05-09,Caldwell University,
NICHOLAS MASON,2025-05-09,Chowan University,
DYLAN ROSE,2025-05-10,Barry University,
FELIX ARROYO,2025-05-10,Barry University,
PEYTON DEHAVEN,2025-05-10,Concord University,
COLBIE HOWELL,2025-05-09,University of Mount Olive,
ERIK ROSAS,2025-05-09,University of Mount Olive,
DAVID BROWN,2025-05-09,Oklahoma Christian University,
DOMINIC TETTA,2025-05-09,Saint Michael's College,
LEONARDO VAZQUEZ,2025-05-10,Barry University,
PIERCE GLADING,2025-05-10,Valdosta State University,
KYLE KIERNAN,2025-05-09,Eastern New Mexico University,
HUNTER SMITH,2025-05-09,Mansfield University of Pennsylvania,
LUKE RAHO,2025-05-09,Mansfield University of Pennsylvania,
CONNER ADAMS,2025-05-09,Mansfield University of Pennsylvania,
ALFREDO GONZALEZ,2025-05-09,Caldwell University,
CHASE HAMILTON,2025-05-09,Northwestern Oklahoma State University,
MICHAEL ACIERNO,2025-05-09,Fort Hays State University,
WILLIAM MAHONEY,2025-05-09,Savannah State University,
JACQUES WALKER,2025-05-10,University of South Carolina Beaufort,
LUKE GOODWIN,2025-05-09,Indiana University of Pennsylvania,
THOMAS EALEY,2025-05-10,Virginia State University,
JOVAN CAMACHO,2025-05-10,West Texas A&M University,
RODRIC BLACK,2025-05-10,West Texas A&M University,
EMMANUEL PENAGERVACIO,2025-05-10,West Texas A&M University,
ANGEL RIVERA,2025-05-10,Barry University,
RYAN CAMACHO,2025-05-10,West Texas A&M University,
AIDAN JONES,2025-05-09,Southwest Baptist University,
JACK KISER,2025-05-09,Newman University,
FRAN MONTANEZ,2025-05-12,Newman University,
NICHOLAS CHASEY,2025-05-10,Newman University,
KENDALL PYATT,2025-05-09,"California State University, San Marcos",
DANIEL IRIZARRY,2025-05-10,University of Montevallo,
MASEN MCDONNELL,2025-05-09,"California State University, San Marcos",
EVAN NICOL,2025-05-09,Saint Martin's University,
GABRIEL JACOBS,2025-05-09,Azusa Pacific University,
GAVIN HUNT,2025-05-09,Azusa Pacific University,
CARLOS PEREZ,2025-05-09,University of Hawaii at Hilo,
MATTHEW ROMERO,2025-05-09,"California State University, San Bernardino",
LOGAN GROFF,2025-05-09,University of Hawaii at Hilo,
"JEFFREY FABIAN, JR.",2025-05-10,West Virginia State University,
KODY DANEAULT,2025-05-10,Flagler College,
BRAEDEN SMITH,2025-05-10,Georgia College,
GAVYN SCHACHER,2025-05-10,Maryville University of Saint Louis,
BENJAMIN GREGORY,2025-05-10,Maryville University of Saint Louis,
LORENT HOTI,2025-05-10,St. Thomas Aquinas College,
JACK DWYER,2025-05-10,St. Thomas Aquinas College,
SETH STARGELL,2025-05-11,Albany State University (Georgia),
RYAN SCOTT,2025-05-12,Mansfield University of Pennsylvania,
HUDSON MORGAN,2025-05-11,University of South Carolina Beaufort,
CAMERON HANCOCK,2025-05-11,Emmanuel University (Georgia),
BRAYDEN GILSON,2025-05-12,Newberry College,
AJAY JONES,2025-05-12,Shorter University,
BRADLEY MORRIS,2025-05-12,Menlo College,
TRISTAN HUNT,2025-05-12,Coker University,
CONNER CLARK,2025-05-12,The University of Texas Permian Basin,
JACK SATINOFF,2025-05-12,Trevecca Nazarene University,
ORLANDO PENA,2025-05-12,Valdosta State University,
JACK HOBSON,2025-05-12,University of South Carolina Aiken,
BLAYNE NEWMAN,2025-05-12,University of South Carolina Aiken,
DREW KNIGHT,2025-05-12,Emmanuel University (Georgia),
ROBERT RENDON,2025-05-12,Eastern New Mexico University,
TYRUS RILEY,2025-05-12,Fort Hays State University,
ZACHARY CARLISLE,2025-05-12,University of Montevallo,
JAMISON HOWLAND,2025-05-12,Assumption University,
EVAN MCCARTHY,2025-05-12,Assumption University,
SETH GURR,2025-05-12,University of Montevallo,
CADEN BOUKNIGHT,2025-05-12,University of South Carolina Aiken,
DEREK ESPINOZA,2025-05-12,University of South Carolina Aiken,
PATRICK GREEN,2025-05-12,Trevecca Nazarene University,
LUKE NORMAN,2025-05-12,University of South Carolina Aiken,
MICHAEL DENNIS,2025-05-12,University of South Carolina Aiken,
JASE SCHUELLER,2025-05-12,Lubbock Christian University,
ELIUD POVENTUD,2025-05-12,University of South Carolina Aiken,
MALIK FOSTER,2025-05-12,Barry University,
CONNOR CROWSON,2025-05-12,University of Montevallo,
NICHOLAS TADDEI,2025-05-12,University of South Carolina Aiken,
KEVIN MEBIL,2025-05-12,Barry University,
MICHAEL ALVAREZ,2025-05-12,Quincy University,
JACOB PEARL,2025-05-12,University of Montevallo,
COLTON AYRES,2025-05-12,Northeastern State University,
COLE HUDDLESTON,2025-05-12,Flagler College,
GAGE WILLIAMS,2025-05-12,Northeastern State University,
MURCHAEL TURNER,2025-05-12,Barry University,
BROCK LARSEN,2025-05-12,"University of Minnesota, Crookston",
HUNTER NOLAN,2025-05-12,University of Alabama in Huntsville,
CALEB WALKER,2025-05-12,Augustana University (South Dakota),
JOHN HEDRICK,2025-05-12,University of South Carolina Aiken,
MURRAY JOHNSON,2025-05-12,Newberry College,
RYAN MARKWARDT,2025-05-12,Lubbock Christian University,
BRAYDEN JACOBSON,2025-05-12,St. Cloud State University,
TRAYCE MERCER,2025-05-12,Ohio Dominican University,
COOPER WALKOFF,2025-05-12,Missouri Southern State University,
BRADEN SMITH,2025-05-12,Maryville University of Saint Louis,
ANTHONY MITTA,2025-05-12,University of Mount Olive,
ROGER GARCIA,2025-05-12,Holy Family University,
DALEN JENSEN,2025-05-12,Northwestern Oklahoma State University,
TYLER BYRNS,2025-05-12,San Francisco State University,
KADE DOUGLAS,2025-05-12,Colorado State University Pueblo,
ELDER MALDONADO,2025-05-12,Bloomfield College,
RYAN HONS,2025-05-12,"Pennsylvania Western University, Clarion",
GABRIEL WUERTH,2025-05-12,Georgia College,
JON SHIELDS,2025-05-12,Embry-Riddle Aeronautical University (Florida),
CAMDEN MATTHEWS,2025-05-12,Miles College,
ROBERT GORLING,2025-05-12,Colorado School of Mines,
CHARLES MOSSER,2025-05-12,Northwest Missouri State University,
NOAH KARLINER,2025-05-12,"California State University, Dominguez Hills",
JOSH BECK,2025-05-12,Florida Institute of Technology,
MAXIMUS MORENO,2025-05-12,Newman University,
VICTOR JOHNSON,2025-05-12,Virginia State University,
JACOB YORK,2025-05-12,University of Wisconsin-Parkside,
CAMDEN KEARNEY,2025-05-12,University of Wisconsin-Parkside,
ETHAN STEPHENS,2025-05-12,Florida Institute of Technology,
JORDAN TOWNLEY,2025-05-12,"California State University, San Marcos",
RAYTH PETERSEN,2025-05-12,Francis Marion University,
ABRAHAM MAURER,2025-05-12,Quincy University,
TREY WINGET,2025-05-12,"California State University, Dominguez Hills",
CASH JAY,2025-05-12,Washburn University,
COOPER CARLGREN,2025-05-12,Washburn University,
JETT BUCK,2025-05-12,Washburn University,
PAYTON MCHARG,2025-05-12,Washburn University,
HAYDEN PRIEST,2025-05-12,Washburn University,
DWIGHT BANKS JR,2025-05-12,Valdosta State University,
DAVID HELLER,2025-05-12,St. Mary's University (Texas),
RYAN JURIC,2025-05-12,"California State University, East Bay",
LANDON ROWLAND,2025-05-12,Menlo College,
JAMES WHITMAN,2025-05-12,Biola University,
